,a,b,turns
322,4.733609199523926,4.733609199523926,16
323,4.6437859535217285,4.6437859535217285,10
324,4.664884567260742,4.664884567260742,9
325,4.5882744789123535,4.5882744789123535,5
326,4.537021160125732,4.537021160125732,10
327,4.736893653869629,4.736893653869629,15
328,4.722292423248291,4.722292423248291,20
329,4.576513767242432,4.576513767242432,16
330,4.704729080200195,4.704729080200195,8
331,4.5270819664001465,4.5270819664001465,17
332,4.695086479187012,4.695086479187012,9
333,4.6988677978515625,4.6988677978515625,6
334,4.794459819793701,4.794459819793701,20
335,4.3492279052734375,4.3492279052734375,20
336,4.317968845367432,4.317968845367432,6
337,4.241290092468262,4.241290092468262,5
338,4.880074501037598,4.880074501037598,18
339,4.763890743255615,4.763890743255615,13
340,4.541849613189697,4.541849613189697,4
341,4.667855739593506,4.667855739593506,20
342,4.698338985443115,4.698338985443115,20
343,4.526054859161377,4.526054859161377,20
344,4.682814598083496,4.682814598083496,20
345,4.172962188720703,4.172962188720703,5
346,4.651554584503174,4.651554584503174,8
347,4.842568874359131,4.842568874359131,17
348,4.723847389221191,4.723847389221191,11
349,4.7283148765563965,4.7283148765563965,14
350,4.7784295082092285,4.7784295082092285,20
351,4.290163040161133,4.290163040161133,6
352,4.496459484100342,4.496459484100342,13
353,4.534478187561035,4.534478187561035,20
354,4.441450119018555,4.441450119018555,3
355,4.882663249969482,4.882663249969482,15
356,4.4659647941589355,4.4659647941589355,10
357,4.586453437805176,4.586453437805176,12
358,4.621157169342041,4.621157169342041,19
359,4.680581569671631,4.680581569671631,20
360,4.56622838973999,4.56622838973999,13
361,4.845520973205566,4.845520973205566,14
362,4.772879600524902,4.772879600524902,19
363,4.72774076461792,4.72774076461792,19
364,4.5885772705078125,4.5885772705078125,6
365,4.803441524505615,4.803441524505615,20
366,4.595011234283447,4.595011234283447,11
367,4.743470191955566,4.743470191955566,20
368,4.29593563079834,4.29593563079834,4
369,4.5868611335754395,4.5868611335754395,20
370,4.35736608505249,4.35736608505249,5
371,4.849297523498535,4.849297523498535,20
372,4.550828456878662,4.550828456878662,7
373,4.380805015563965,4.380805015563965,20
374,4.102528095245361,4.102528095245361,7
375,4.543100833892822,4.543100833892822,20
376,4.86406135559082,4.86406135559082,16
377,4.662999153137207,4.662999153137207,20
378,4.6189866065979,4.6189866065979,14
379,4.56084680557251,4.56084680557251,13
380,4.364248275756836,4.364248275756836,5
381,4.723763465881348,4.723763465881348,20
382,4.432760238647461,4.432760238647461,18
383,4.466272354125977,4.466272354125977,5
384,4.750679016113281,4.750679016113281,13
385,4.6267008781433105,4.6267008781433105,12
386,4.56065559387207,4.56065559387207,20
387,4.696376800537109,4.696376800537109,5
388,4.645479679107666,4.645479679107666,20
389,4.548862457275391,4.548862457275391,4
390,4.76174783706665,4.76174783706665,13
391,4.710258960723877,4.710258960723877,9
392,4.626739025115967,4.626739025115967,11
393,4.463779926300049,4.463779926300049,4
394,4.687821865081787,4.687821865081787,20
395,4.711977958679199,4.711977958679199,17
396,4.534660816192627,4.534660816192627,11
397,4.775515079498291,4.775515079498291,16
398,4.651219844818115,4.651219844818115,14
399,4.725241661071777,4.725241661071777,18
400,4.655694961547852,4.655694961547852,10
401,4.719362735748291,4.719362735748291,18
402,4.622704029083252,4.622704029083252,16
403,4.7786455154418945,4.7786455154418945,20
404,4.3872809410095215,4.3872809410095215,11
405,4.463785171508789,4.463785171508789,20
406,4.47248649597168,4.47248649597168,20
407,4.7787346839904785,4.7787346839904785,20
408,4.763972282409668,4.763972282409668,20
409,4.534282684326172,4.534282684326172,20
410,4.646395206451416,4.646395206451416,8
411,4.422573566436768,4.422573566436768,7
412,4.8269734382629395,4.8269734382629395,20
413,4.466190338134766,4.466190338134766,13
414,4.373445510864258,4.373445510864258,6
415,4.899181365966797,4.899181365966797,20
416,4.5605268478393555,4.5605268478393555,15
417,4.691766262054443,4.691766262054443,15
418,4.189680099487305,4.189680099487305,3
419,4.817760944366455,4.817760944366455,20
420,4.4868669509887695,4.4868669509887695,12
421,4.503087520599365,4.503087520599365,9
422,4.28419828414917,4.28419828414917,6
423,4.6824750900268555,4.6824750900268555,9
424,4.503305912017822,4.503305912017822,6
425,4.246445178985596,4.246445178985596,4
426,4.921344757080078,4.921344757080078,20
427,4.3505167961120605,4.3505167961120605,3
428,4.770819664001465,4.770819664001465,12
429,4.608922958374023,4.608922958374023,11
430,4.689254283905029,4.689254283905029,17
431,4.8736677169799805,4.8736677169799805,20
432,4.333808898925781,4.333808898925781,3
433,4.618590831756592,4.618590831756592,20
434,4.604291915893555,4.604291915893555,20
435,4.569679260253906,4.569679260253906,20
436,4.517573356628418,4.517573356628418,8
437,4.669125080108643,4.669125080108643,20
438,4.678411483764648,4.678411483764648,12
439,4.560708999633789,4.560708999633789,13
440,4.648109436035156,4.648109436035156,20
441,4.614908218383789,4.614908218383789,20
442,4.401722431182861,4.401722431182861,10
443,4.6840410232543945,4.6840410232543945,14
444,4.261019229888916,4.261019229888916,5
445,4.67238187789917,4.67238187789917,15
446,4.73170280456543,4.73170280456543,7
447,4.575032711029053,4.575032711029053,9
448,4.196142673492432,4.196142673492432,20
449,4.896091938018799,4.896091938018799,20
450,4.468704700469971,4.468704700469971,7
451,4.706943035125732,4.706943035125732,20
452,4.391727924346924,4.391727924346924,7
453,4.618032932281494,4.618032932281494,6
454,4.528728008270264,4.528728008270264,13
455,4.316855430603027,4.316855430603027,8
456,4.721611499786377,4.721611499786377,20
457,4.4777350425720215,4.4777350425720215,5
458,4.680250644683838,4.680250644683838,8
459,4.364969730377197,4.364969730377197,4
460,4.460879802703857,4.460879802703857,6
461,4.818404197692871,4.818404197692871,20
462,4.45424222946167,4.45424222946167,20
463,4.678527355194092,4.678527355194092,20
464,4.812372207641602,4.812372207641602,8
465,4.729461193084717,4.729461193084717,20
466,4.62705659866333,4.62705659866333,18
467,4.645407676696777,4.645407676696777,9
468,4.618678092956543,4.618678092956543,19
469,4.404736042022705,4.404736042022705,5
470,4.737374782562256,4.737374782562256,14
471,4.756911754608154,4.756911754608154,18
472,4.623483180999756,4.623483180999756,7
473,4.289585590362549,4.289585590362549,20
474,4.697271347045898,4.697271347045898,20
475,4.401979923248291,4.401979923248291,6
476,4.2234787940979,4.2234787940979,3
477,4.502861976623535,4.502861976623535,15
478,4.469503879547119,4.469503879547119,4
479,4.582969665527344,4.582969665527344,14
480,4.622893810272217,4.622893810272217,11
481,4.600211143493652,4.600211143493652,10
482,4.114246368408203,4.114246368408203,20
483,4.635348320007324,4.635348320007324,11
484,4.754793643951416,4.754793643951416,16
485,4.658695697784424,4.658695697784424,20
486,4.656735420227051,4.656735420227051,10
487,4.632763385772705,4.632763385772705,18
488,4.418546199798584,4.418546199798584,4
489,4.577917098999023,4.577917098999023,5
490,4.581142425537109,4.581142425537109,8
491,4.7563629150390625,4.7563629150390625,19
492,4.631330490112305,4.631330490112305,20
493,4.684321403503418,4.684321403503418,15
494,4.163597106933594,4.163597106933594,3
495,4.143914222717285,4.143914222717285,14
496,4.538346767425537,4.538346767425537,13
497,4.623226642608643,4.623226642608643,11
498,4.824087142944336,4.824087142944336,15
499,4.889266490936279,4.889266490936279,20
500,4.673435688018799,4.673435688018799,13
501,4.476781368255615,4.476781368255615,12
502,4.538012504577637,4.538012504577637,20
503,4.511637210845947,4.511637210845947,13
504,4.566769599914551,4.566769599914551,4
505,4.567102909088135,4.567102909088135,17
506,4.473312854766846,4.473312854766846,11
507,4.271461486816406,4.271461486816406,17
508,4.576108455657959,4.576108455657959,20
